,big_age,high_educ,has_job,default,housing,loan,cell_cont,before_con,influence_ccon,long_dur,poutcome,y
49,True,True,True,False,True,True,False,False,True,True,False,True
50,False,False,True,False,False,True,True,False,True,False,False,False
51,False,True,False,False,True,True,False,False,True,True,False,False
52,True,True,True,False,True,True,False,False,True,True,False,False
53,False,True,True,False,False,True,False,False,False,False,False,False
54,False,True,True,False,True,True,False,False,True,False,False,False
55,True,True,False,False,True,True,False,False,False,True,False,False
56,False,False,True,False,True,True,False,False,False,True,False,False
57,True,False,True,False,True,True,True,False,False,True,False,False
58,False,False,True,False,True,True,False,False,False,True,False,False
59,True,False,True,False,False,True,False,False,True,False,False,False
60,True,False,True,False,False,True,False,False,False,False,False,False
61,True,False,True,False,True,True,True,False,True,True,False,False
62,True,False,True,False,True,True,False,False,True,False,False,False
63,True,False,True,False,False,False,True,False,True,False,False,False
64,False,False,True,False,True,True,True,False,True,True,False,False
65,False,False,True,False,True,True,False,False,True,False,False,False
66,False,True,True,False,True,True,False,False,True,True,False,False
67,False,False,True,False,True,True,True,False,True,False,False,False
68,True,False,True,False,True,True,True,False,True,True,False,False
69,False,True,True,False,True,True,False,True,False,False,False,False
70,False,True,True,False,False,True,True,False,False,True,False,False
71,True,True,False,False,True,True,True,False,False,False,False,False
72,False,True,True,False,True,True,False,False,True,True,False,True
73,True,False,True,False,True,True,True,False,True,True,False,False
74,True,False,True,False,False,True,False,True,False,False,False,False
75,False,True,True,False,False,False,True,False,True,False,False,False
76,False,False,True,False,True,True,True,False,False,True,False,False
77,False,False,True,False,False,True,True,False,False,False,False,False
78,True,True,True,False,True,True,False,False,True,False,False,False
79,False,True,True,False,False,True,False,False,True,False,False,False
80,False,True,True,False,False,True,False,False,False,True,False,True
81,False,True,True,False,False,True,False,False,True,False,False,False
82,False,True,True,False,False,True,False,False,True,True,False,False
83,True,False,False,False,False,True,False,False,False,False,False,True
84,True,True,True,False,False,True,True,False,False,False,False,False
85,False,False,True,False,False,True,True,False,True,True,False,True
86,False,False,True,False,False,True,True,False,False,False,False,False
87,True,True,True,False,False,True,False,False,False,False,False,False
88,True,True,True,False,False,True,False,False,True,True,False,False
89,False,False,True,False,True,True,True,False,True,True,False,False
90,False,True,True,False,True,True,True,False,True,True,False,False
91,True,False,True,False,False,True,False,False,True,True,False,False
92,False,True,True,False,True,True,False,False,True,True,False,False
93,False,True,True,False,True,True,False,False,True,True,False,True
94,False,False,False,False,True,True,False,True,True,False,False,False
95,True,False,True,False,False,False,False,True,True,True,False,False
96,False,False,True,False,False,True,False,False,False,False,False,False
97,False,True,True,False,False,True,False,False,False,False,False,False
98,False,False,True,False,True,True,True,False,True,False,False,False
99,False,False,True,False,False,True,False,True,True,False,False,False
100,False,False,True,False,True,True,True,False,False,True,False,False
101,True,True,True,False,False,True,False,False,False,True,False,False
102,False,False,True,False,True,True,False,False,False,True,False,False
103,False,False,False,False,True,True,False,False,True,False,False,False
104,True,True,True,False,False,False,False,False,False,True,False,False
105,True,True,True,False,True,True,False,False,True,False,False,False
106,True,False,True,False,False,True,True,False,False,False,False,False
107,True,False,True,False,True,True,True,False,True,False,False,False
108,False,False,True,False,True,True,True,False,True,False,False,False
109,False,True,True,False,False,True,False,True,True,True,False,True
110,True,False,True,False,False,True,False,False,False,False,False,False
111,True,False,True,False,False,True,True,False,True,False,False,False
112,False,False,True,False,True,True,True,False,False,True,False,False
113,True,False,True,False,True,True,True,False,False,True,False,False
114,False,True,True,False,False,True,True,False,True,True,False,False
115,False,True,True,False,True,True,False,False,True,True,False,False
116,False,True,True,False,True,True,False,False,False,True,False,True
117,False,False,True,False,False,True,False,False,False,True,False,True
118,True,False,True,False,True,False,True,False,False,True,False,False
119,False,False,True,False,False,True,False,False,False,False,False,False
120,True,False,True,False,True,True,True,False,True,True,False,False
121,False,True,True,False,False,True,False,False,False,True,False,False
122,True,False,True,False,False,True,False,False,True,True,False,False
123,True,True,True,False,True,True,False,True,False,True,False,False
124,True,True,True,False,False,True,False,True,True,True,True,True
125,True,False,True,False,False,True,True,False,True,True,False,False
126,True,True,True,False,True,True,False,False,False,True,False,True
127,True,False,True,False,False,False,False,True,True,True,False,True
128,False,False,True,False,False,True,False,False,False,False,False,False
129,True,True,True,False,True,True,True,False,False,False,False,False
130,True,True,True,False,False,True,False,False,False,False,False,False
131,False,True,True,False,False,True,True,True,True,True,False,True
132,False,False,False,False,False,True,False,False,False,False,False,False
133,False,True,True,False,False,True,False,True,True,False,True,False
134,True,False,True,False,False,True,True,False,False,False,False,False
135,False,True,True,False,True,True,False,False,True,False,False,False
136,False,False,True,False,False,True,False,True,False,True,False,False
137,False,True,True,False,True,True,False,False,True,True,False,False
138,False,True,True,False,True,False,False,False,False,True,False,True
139,False,False,True,False,False,True,False,False,False,True,False,True
140,True,False,True,False,True,True,False,True,True,True,False,False
141,False,False,True,False,True,True,True,False,True,False,False,False
142,False,False,True,False,True,True,False,False,True,True,False,False
143,True,False,True,False,False,False,False,False,False,True,False,False
144,False,True,True,False,True,False,False,False,True,True,False,False
145,False,False,True,False,True,False,True,False,True,True,False,False
146,False,True,True,False,True,True,True,False,True,False,False,False
147,False,False,True,False,False,True,True,False,False,True,False,False
148,True,True,True,False,True,True,True,False,False,True,False,False
149,False,True,True,False,True,True,False,False,True,True,False,False
150,True,False,True,False,True,True,True,False,True,False,False,False
151,True,True,True,False,True,True,True,False,False,True,False,False
152,True,False,True,False,True,True,False,False,False,True,False,False
153,False,False,True,False,True,True,False,False,True,False,False,False
154,False,True,True,False,False,True,False,False,True,True,False,False
155,True,False,True,False,False,False,False,False,True,True,False,False
156,True,True,True,False,False,True,True,False,False,True,False,False
157,False,False,False,False,False,True,True,False,False,False,False,False
158,True,True,True,False,False,False,False,False,True,False,False,False
159,False,False,True,False,False,True,False,True,False,False,False,False
160,True,False,True,False,False,True,True,False,False,False,False,False
161,True,False,True,False,False,True,False,False,False,True,False,False
162,False,False,True,False,True,True,False,True,False,True,True,False
163,False,False,True,False,False,True,False,True,True,False,False,False
164,False,True,True,False,False,True,False,False,True,True,False,False
165,True,False,True,False,False,True,False,True,True,False,False,False
166,False,True,True,False,False,True,False,False,True,True,False,False
167,False,False,False,False,True,True,False,True,False,True,True,True
168,False,True,False,False,False,True,False,False,False,True,False,True
169,True,False,True,False,True,True,False,False,False,False,False,False
170,False,True,True,False,True,False,False,False,True,False,False,False
171,False,False,True,False,False,True,False,False,False,False,False,False
172,True,False,True,False,True,False,True,False,False,True,False,False
173,False,False,True,False,False,True,False,False,True,True,False,False
174,True,True,True,False,False,True,False,False,False,True,False,False
175,False,True,True,False,False,True,False,False,False,False,False,False
176,False,True,True,False,False,True,False,False,True,False,False,False
177,True,True,True,False,False,True,False,False,False,False,False,False
178,True,True,True,False,False,True,True,False,True,False,False,False
179,False,False,True,False,False,False,False,False,False,False,False,False
180,False,True,True,False,False,True,False,False,False,True,False,False
181,False,False,True,False,True,True,False,False,True,True,False,True
182,True,False,True,False,True,True,False,False,False,False,False,False
183,True,False,True,False,True,True,False,False,True,True,False,True
184,False,False,True,False,False,True,False,False,False,True,False,False
185,False,True,True,False,True,True,False,False,True,False,False,False
186,False,True,True,False,True,True,True,False,True,False,False,False
187,True,False,True,False,False,True,False,True,True,False,False,False
188,True,False,True,False,False,True,False,True,False,False,False,True
189,True,False,True,False,False,False,False,False,True,True,False,False
190,False,True,True,False,False,True,True,False,True,True,False,False
191,False,False,True,False,False,True,True,False,True,False,False,False
192,True,True,True,False,True,False,True,False,False,False,False,False
193,True,True,False,False,False,True,False,False,True,True,False,False
194,True,False,True,False,True,False,False,False,True,False,False,False
195,True,True,True,False,False,True,False,False,False,True,False,False
196,False,False,True,False,False,True,False,False,True,False,False,False
197,True,False,True,False,False,True,False,False,False,True,False,False
198,True,False,True,False,False,True,False,False,False,True,False,False
199,False,True,True,False,True,True,False,False,True,True,False,False
200,False,False,True,False,True,True,True,False,True,True,False,False
201,False,False,True,False,False,True,True,True,False,False,False,False
202,False,True,True,False,True,True,False,False,False,True,False,False
203,False,True,True,False,True,True,False,False,True,True,False,True
204,False,True,True,False,False,True,False,False,False,False,False,False
205,True,False,False,False,True,True,False,True,True,False,True,False
206,False,False,True,False,True,True,True,False,True,True,False,False
207,False,False,True,False,True,True,False,False,False,True,False,False
208,False,False,True,False,False,True,False,False,False,True,False,False
209,False,False,True,False,False,False,False,True,True,False,False,False
210,True,False,True,False,True,True,True,False,False,False,False,False
211,False,True,True,False,True,True,False,False,False,False,False,False
212,True,False,False,False,True,True,False,False,True,False,False,False
213,True,False,False,False,True,True,False,False,False,False,False,False
214,False,True,True,False,False,False,False,False,True,False,False,False
215,True,False,False,False,True,True,False,True,True,True,True,True
216,False,True,True,False,False,True,False,False,False,False,False,False
217,False,False,True,False,False,True,True,False,True,True,False,False
218,True,True,True,False,True,True,False,True,False,False,False,False
219,True,False,True,False,True,True,False,False,False,False,False,False
220,True,True,True,False,False,True,False,False,True,True,False,False
221,True,True,True,False,True,True,True,False,True,True,False,False
222,True,True,True,False,False,True,True,False,True,True,False,False
223,False,True,True,False,True,True,False,False,False,True,False,True
224,True,True,True,False,True,True,True,False,False,True,False,False
225,True,False,True,False,True,True,False,False,False,False,False,False
226,False,True,True,False,True,True,False,False,False,False,False,False
227,False,True,True,False,True,True,False,False,True,True,False,False
228,True,True,True,False,False,False,False,False,False,False,False,False
229,True,True,True,False,False,True,False,False,False,False,False,False
230,False,False,True,False,True,True,False,False,False,True,False,False
231,True,True,True,False,False,True,True,False,False,False,False,False
232,False,False,True,False,True,True,True,False,False,False,False,False
233,True,False,True,False,True,True,False,False,True,False,False,False
234,False,False,True,False,False,True,False,False,False,False,False,False
235,False,False,True,False,False,True,True,False,True,False,False,False
236,True,False,True,False,False,True,False,False,False,False,False,False
237,False,False,True,False,True,True,True,False,True,True,False,False
238,False,False,True,False,True,True,False,False,True,False,False,False
239,True,False,True,False,False,True,True,False,True,False,False,False
240,True,False,True,False,False,True,True,False,True,True,False,False
241,False,True,True,False,True,True,False,False,False,True,False,True
242,False,False,True,False,True,True,True,False,False,True,False,False
243,False,True,True,False,False,True,False,False,True,False,False,False
244,True,False,True,False,True,True,False,False,True,True,False,False
245,False,True,True,False,False,False,False,False,True,True,False,False
246,False,False,True,False,False,True,False,False,False,False,False,False
247,True,True,True,False,False,True,False,False,False,True,False,True
248,True,False,True,False,True,True,True,False,False,False,False,False
249,True,True,True,False,True,True,True,False,True,True,False,False
250,False,True,True,False,True,True,False,False,False,True,False,True
251,False,True,True,False,True,True,False,False,True,False,False,False
252,True,False,True,False,False,True,True,False,False,True,False,False
253,True,False,True,False,False,True,True,False,True,False,False,False
254,False,True,True,False,False,True,False,False,True,False,False,False
255,False,True,True,False,False,True,False,False,False,False,False,False
256,True,False,True,False,False,True,False,True,True,False,False,False
257,True,False,False,False,False,True,False,False,False,False,False,False
258,True,False,True,False,True,True,False,False,False,False,False,False
259,False,False,True,False,False,True,False,False,True,True,False,False
260,False,False,True,False,True,True,False,False,True,True,False,False
261,True,False,True,False,False,True,False,False,False,True,False,False
262,True,True,True,False,True,True,False,False,False,False,False,False
263,False,True,True,False,True,False,False,False,True,True,False,False
264,True,True,False,False,False,True,False,False,True,True,False,False
265,False,False,True,False,False,True,True,False,True,False,False,False
266,True,False,True,False,True,True,False,False,True,True,False,False
267,True,False,False,False,False,True,False,False,False,False,False,False
268,False,False,True,False,False,True,True,False,True,True,False,False
269,True,False,True,False,True,True,False,False,True,True,False,True
270,False,False,True,False,False,True,True,False,True,True,False,False
271,True,True,True,False,False,True,False,True,True,True,False,False
272,True,True,True,False,True,True,False,False,True,False,False,False
273,True,True,True,False,True,True,True,False,False,False,False,False
274,True,False,False,False,True,False,True,False,True,False,False,False
275,True,True,True,False,True,True,False,False,True,True,False,False
276,False,True,True,False,False,True,False,False,True,True,False,False
277,False,True,False,False,False,True,False,True,True,False,False,False
278,True,False,True,False,True,True,False,False,True,True,False,False
279,False,True,True,False,False,True,False,False,True,True,False,False
280,True,True,True,False,True,True,False,False,False,False,False,False
281,False,False,True,False,False,True,False,False,False,False,False,False
282,False,False,False,False,False,True,True,False,False,False,False,False
283,True,True,True,False,False,True,True,False,True,False,False,False
284,True,True,True,False,False,True,False,False,True,False,False,False
285,True,True,True,False,False,False,False,False,False,False,False,False
286,True,False,True,False,False,True,True,False,True,False,False,False
287,True,False,True,False,False,True,True,False,True,False,False,False
288,True,True,True,False,True,True,False,False,False,True,False,False
289,True,False,True,False,False,True,False,False,True,True,False,False
290,False,False,True,False,True,True,False,False,True,True,False,False
291,False,True,True,False,False,False,False,False,False,True,False,False
292,False,False,True,False,False,True,False,False,True,False,False,False
293,True,True,True,False,False,True,True,False,False,False,False,False
294,False,True,True,False,True,True,False,True,True,False,False,False
295,False,False,False,False,True,False,False,True,False,True,False,True
296,False,True,True,False,False,True,False,False,True,False,False,False
297,False,False,True,False,False,True,False,True,True,False,False,False
298,False,True,True,False,False,True,True,False,False,True,False,False
299,False,True,True,False,True,True,False,False,True,False,False,False
300,False,True,True,False,False,True,False,False,False,True,False,False
301,False,True,True,False,False,True,False,False,False,False,False,False
302,False,True,True,False,True,True,False,False,False,False,False,False
303,True,True,True,False,True,True,False,True,False,False,False,True
304,False,True,True,False,False,True,True,False,False,False,False,False
305,True,True,True,False,False,False,False,False,False,False,False,False
306,False,True,True,False,False,True,False,False,True,False,False,False
307,False,False,False,False,True,True,False,True,False,False,False,False
308,True,True,True,False,False,True,True,False,True,True,False,False
309,False,True,False,False,False,True,False,False,True,False,False,False
310,True,True,True,False,True,True,False,False,False,False,False,False
311,True,True,True,False,True,True,False,False,True,False,False,False
312,False,False,True,False,True,True,True,False,True,True,False,False
313,True,False,False,False,True,True,False,False,True,True,False,False
314,False,True,True,False,True,True,True,False,False,False,False,False
315,False,False,False,False,False,False,True,False,False,True,False,False
316,True,False,False,False,True,True,True,False,False,True,False,False
317,False,False,True,False,True,True,True,False,False,True,False,False
318,True,True,True,False,False,True,False,True,False,False,False,False
319,False,False,True,False,True,True,False,False,True,True,False,False
320,False,True,True,False,True,False,False,False,False,True,False,False
321,True,True,True,False,True,True,True,False,False,True,False,False
322,False,False,True,False,False,True,True,False,True,False,False,False
323,False,False,True,False,True,True,False,False,True,True,False,True
324,True,False,True,False,False,False,False,False,True,False,False,False
325,False,True,True,False,True,True,False,False,False,False,False,False
326,False,False,True,False,False,True,True,True,False,False,False,False
327,False,False,True,False,False,True,False,False,False,True,False,False
328,False,True,True,False,False,True,True,False,False,False,False,False
329,True,False,True,False,False,True,True,False,True,True,False,False
330,True,True,False,False,True,True,False,False,True,True,False,False
331,False,False,True,False,False,True,True,False,True,False,False,False
332,True,True,True,False,False,True,True,False,True,True,False,False
333,False,True,True,False,True,True,True,False,False,False,False,False
334,False,True,True,False,True,True,False,False,True,True,False,True
335,False,True,True,False,False,True,True,False,True,False,False,False
336,True,False,True,False,True,True,False,True,True,True,False,False
337,True,True,True,False,True,True,False,False,False,True,False,False
338,True,True,True,False,False,True,False,False,False,False,False,False
339,True,True,True,False,True,False,False,False,False,False,False,False
340,False,False,False,False,True,True,False,False,True,False,False,False
341,True,False,True,False,False,True,False,False,True,True,False,False
342,False,False,True,False,False,True,False,True,True,True,False,True
343,True,True,True,False,False,True,False,False,True,False,False,False
344,False,True,True,False,False,True,False,True,True,False,False,True
345,False,False,True,False,False,True,True,False,False,False,False,False
346,False,True,True,False,False,True,True,False,True,False,False,False
347,False,False,True,False,False,True,True,False,True,False,False,False
348,True,True,True,False,False,True,False,False,False,False,False,False
349,True,True,True,False,False,True,False,True,False,False,False,False
350,False,True,True,False,False,True,False,False,False,False,False,False
351,False,True,True,False,False,True,False,False,False,False,False,False
352,True,False,True,False,False,True,False,False,False,True,False,False
353,True,True,False,False,True,True,False,True,True,True,True,True
354,False,False,True,False,True,True,False,True,False,True,True,True
355,True,True,True,False,False,True,False,False,True,True,False,False
356,False,True,True,False,True,True,False,False,True,False,False,False
357,False,True,True,False,False,False,False,False,False,True,False,False
358,True,True,True,False,False,True,False,False,True,True,False,False
359,False,True,True,False,True,False,False,False,False,False,False,False
360,True,True,True,False,False,True,True,False,True,True,False,False
361,True,False,False,False,False,True,False,False,False,False,False,True
362,False,True,True,False,False,True,False,False,False,False,False,False
363,False,False,True,False,False,True,True,True,True,False,False,False
364,True,False,True,False,False,True,False,False,True,True,False,False
365,True,True,True,False,False,True,False,False,False,True,False,False
366,True,False,True,False,False,True,False,True,False,True,False,False
367,False,False,True,False,False,True,False,False,True,False,False,False
368,False,True,False,False,False,True,True,False,True,False,False,False
369,True,True,True,False,False,True,False,False,True,False,False,False
370,False,True,True,False,False,False,False,False,False,True,False,True
371,False,True,True,False,False,True,True,False,True,True,False,False
372,True,True,True,False,False,True,False,True,False,False,False,False
373,True,True,True,False,False,True,True,False,True,False,False,False
374,True,False,True,False,False,True,True,False,False,True,False,False
375,True,True,True,False,True,True,True,False,True,False,False,False
376,False,True,True,False,False,True,False,False,False,False,False,False
377,True,True,True,False,True,True,True,False,True,False,False,False
378,True,False,True,False,False,True,False,False,False,False,False,False
379,False,False,True,False,False,True,False,True,False,True,False,False
380,False,True,True,False,True,True,True,False,True,True,False,False
381,False,False,True,False,True,True,True,False,True,False,False,False
382,True,True,False,False,True,True,False,False,False,True,False,False
383,True,False,True,False,False,True,False,False,False,False,False,False
384,False,True,True,False,False,False,True,False,True,False,False,False
385,False,False,True,False,True,True,True,False,True,False,False,False
386,False,True,True,False,False,True,False,False,True,False,False,False
387,False,True,True,False,False,True,False,False,True,True,False,False
388,True,False,True,False,False,False,True,False,False,True,False,False
389,True,True,True,False,True,True,True,False,True,True,False,True
390,True,False,True,False,True,True,True,False,False,True,False,False
391,True,True,True,False,True,True,True,False,True,False,False,False
392,True,True,True,False,False,True,False,False,False,False,False,False
393,True,True,True,False,False,True,True,False,False,False,False,False
394,False,False,False,False,False,True,True,False,False,True,False,False
395,False,False,True,False,False,True,False,False,False,True,False,False
396,True,True,True,False,True,True,False,False,True,False,False,False
397,False,True,True,False,True,True,False,False,True,True,False,False
398,False,True,True,False,False,True,False,False,False,False,False,False
399,True,True,False,False,True,True,False,False,False,True,False,True
400,True,False,True,False,False,True,True,False,True,False,False,False
401,False,True,True,False,False,True,True,False,True,False,False,False
402,False,False,True,False,False,True,False,False,False,False,False,False
403,True,True,True,False,False,True,False,False,True,False,False,False
404,False,True,True,False,False,True,False,False,True,False,False,False
405,False,True,True,False,True,True,False,False,True,False,False,False
406,True,False,True,False,True,True,False,False,True,False,False,False
407,False,True,True,False,False,False,True,False,True,True,False,True
408,False,False,True,False,False,True,False,False,True,False,False,False
409,True,True,True,False,True,True,True,False,False,True,False,False
410,False,False,True,False,False,True,False,True,False,False,False,False
411,False,True,True,False,True,True,True,False,True,True,False,False
412,False,False,True,False,True,True,True,False,False,True,False,False
413,False,True,True,False,False,True,False,False,False,False,False,False
414,False,True,True,False,False,True,False,False,True,True,False,False
415,True,False,True,False,False,False,True,False,False,False,False,False
416,True,True,True,False,False,True,False,False,True,False,False,False
417,True,True,True,False,False,True,False,False,True,False,False,False
418,True,True,True,False,False,True,True,False,False,False,False,False
419,True,True,True,False,False,True,False,False,False,False,False,False
420,False,False,True,False,False,False,False,False,False,False,False,False
421,False,True,False,False,True,True,False,False,False,True,False,False
422,False,True,True,False,False,True,True,False,False,True,False,False
423,True,False,True,False,True,True,True,False,True,False,False,False
424,True,False,True,False,False,True,False,False,False,True,False,False
425,False,True,True,False,False,True,False,False,True,False,False,False
426,False,True,True,False,True,False,False,False,False,True,False,False
427,True,False,False,False,True,False,True,False,False,True,False,False
428,False,True,True,False,True,True,False,False,True,True,False,False
429,True,False,True,False,True,True,True,False,True,False,False,False
430,True,True,True,False,False,True,False,False,True,False,False,False
431,False,True,True,False,True,False,False,False,False,True,False,True
432,False,True,True,False,False,True,False,False,True,False,False,False
433,False,False,True,False,False,True,False,False,True,True,False,True
434,False,False,True,False,True,True,True,False,True,False,False,False
435,False,False,True,False,True,True,False,False,True,True,False,False
436,True,False,True,False,False,True,False,True,False,False,False,False
437,True,True,True,False,True,True,True,False,True,False,False,False
438,False,False,True,False,False,True,False,False,False,False,False,False
439,False,False,True,False,True,True,False,False,True,False,False,False
440,True,False,True,False,False,False,True,False,True,False,False,False
441,False,False,True,False,True,True,False,False,False,False,False,False
442,False,True,True,False,False,True,False,False,True,True,False,True
443,False,False,True,False,True,True,False,False,True,False,False,False
444,False,False,True,False,False,True,False,False,True,False,False,False
445,False,True,True,False,False,True,False,True,False,True,False,False
446,True,True,True,False,False,True,True,False,False,True,False,False
447,True,False,True,False,True,True,True,False,True,True,False,False
448,True,True,True,False,True,True,False,False,True,False,False,False
449,False,False,True,False,False,True,False,False,True,True,False,False
450,True,False,True,False,True,False,False,False,False,True,False,False
451,False,True,True,False,False,True,False,False,False,True,False,False
452,False,True,True,False,True,True,False,False,True,True,False,True
453,True,False,True,False,True,True,False,False,False,True,False,False
454,True,False,True,False,True,True,False,False,False,True,False,False
455,True,False,True,False,False,True,False,True,True,True,False,False
456,False,False,True,False,True,False,True,False,False,True,False,False
457,True,False,True,False,False,True,False,False,True,False,False,False
458,False,True,True,False,True,False,False,False,False,True,False,False
459,False,False,True,False,False,True,True,False,False,True,False,False
460,False,False,True,False,False,True,False,False,True,False,False,False
461,False,False,True,False,True,True,True,False,True,False,False,False
462,False,False,True,False,False,True,True,False,False,False,False,False
463,False,False,True,False,True,True,False,False,True,False,False,False
464,False,False,True,False,False,True,True,False,True,True,False,False
465,False,False,True,False,False,True,False,False,True,False,False,False
466,False,True,True,False,True,False,False,False,False,True,False,False
467,False,False,True,False,False,True,False,True,True,True,False,False
468,False,True,True,False,False,True,False,False,True,True,False,False
469,False,False,True,False,False,True,True,False,False,False,False,False
470,True,False,True,False,True,True,False,False,True,True,False,True
471,False,False,True,False,False,False,False,False,False,False,False,False
472,True,True,True,False,False,False,False,True,True,True,False,False
473,True,True,True,False,True,True,False,False,False,True,False,False
474,True,False,True,False,False,True,False,False,True,False,False,False
475,False,False,True,False,False,True,False,True,True,False,False,False
476,False,True,True,False,False,False,False,True,True,True,True,False
477,False,False,True,False,False,False,True,False,True,False,False,False
478,False,False,True,False,True,False,True,False,False,False,False,False
479,True,False,True,False,False,True,False,True,False,False,False,False
480,True,True,False,False,False,True,False,False,False,True,False,False
481,False,False,True,False,False,True,False,False,True,True,False,False
482,False,False,False,False,False,True,False,False,False,True,False,False
483,False,False,True,False,True,True,True,False,False,True,False,False
484,True,False,True,False,True,True,True,False,False,False,False,False
485,False,True,True,False,True,True,True,False,True,False,False,False
486,True,False,True,False,True,True,False,True,True,False,False,False
487,True,False,True,False,True,True,False,True,True,True,False,False
488,False,False,False,False,True,True,False,False,True,False,False,False
489,False,True,True,False,True,True,False,False,False,False,False,False
490,True,True,True,False,False,True,False,False,False,False,False,False
491,True,True,True,False,True,True,True,False,False,False,False,False
492,False,False,True,False,False,True,False,False,True,False,False,False
493,False,False,True,False,True,True,True,False,True,True,False,False
494,False,True,True,False,True,True,True,False,True,False,False,False
495,False,False,True,False,False,False,True,False,False,True,False,False
496,False,True,True,False,False,True,False,True,False,True,False,False
497,True,True,True,False,False,True,False,False,True,True,False,False
498,True,False,True,False,True,True,False,False,True,False,False,False
499,False,True,True,False,True,True,True,False,False,True,False,False
500,True,False,True,False,False,False,False,False,True,True,False,False
501,False,True,True,False,False,True,False,True,True,False,False,False
502,False,True,True,False,False,True,False,False,True,True,False,False
503,True,False,True,False,True,True,False,False,False,True,False,False
504,False,False,True,False,False,True,False,False,True,False,False,False
505,True,True,False,False,True,True,False,True,True,True,False,True
506,True,True,True,False,False,True,False,False,False,True,False,False
507,False,False,True,False,False,True,True,False,False,True,False,False
508,False,True,True,False,False,False,True,False,True,True,False,False
509,False,False,True,False,True,True,False,False,True,True,False,False
510,True,False,True,False,False,True,True,False,True,False,False,False
511,False,False,True,False,False,True,False,False,False,False,False,False
512,True,False,True,False,False,False,False,False,True,False,False,False
513,True,True,True,False,False,False,True,False,True,False,False,False
514,False,True,True,False,False,True,False,False,True,True,False,True
515,True,True,False,False,True,True,False,True,False,False,False,False
516,False,True,True,False,False,True,False,False,True,False,False,False
517,False,True,True,False,True,True,False,False,False,False,False,False
518,False,False,True,False,True,True,False,False,True,True,False,False
519,True,True,True,False,False,True,False,False,True,True,False,True
520,False,True,True,False,False,True,False,False,True,True,False,False
521,False,False,True,False,True,True,False,False,True,True,False,False
522,False,True,True,False,False,True,False,False,True,True,False,False
523,True,True,True,False,True,True,False,False,True,False,False,False
524,False,False,True,False,False,True,False,False,False,False,False,False
525,False,True,True,False,False,True,False,False,True,False,False,False
526,True,False,True,False,True,True,True,False,True,True,False,False
527,False,False,False,False,False,True,True,False,False,False,False,False
528,False,False,True,False,False,True,True,False,False,True,False,False
529,True,False,True,False,True,False,False,True,False,True,False,False
530,False,True,True,False,True,True,False,False,True,True,False,False
531,True,False,True,False,False,True,True,False,False,False,False,False
532,False,True,True,False,False,True,True,False,False,True,False,True
533,False,False,True,False,False,True,False,False,False,True,False,True
